date,open,high,low,close,volume,name
14-11-2022,192.770004,195.729996,186.339996,190.949997,92226600,Tesla
15-11-2022,195.880005,200.820007,192.059998,194.419998,91293800,Tesla
16-11-2022,191.509995,192.570007,185.660004,186.919998,66567600,Tesla
17-11-2022,183.960007,186.160004,180.899994,183.169998,64336000,Tesla
18-11-2022,185.050003,185.190002,176.550003,180.190002,76048900,Tesla
21-11-2022,175.850006,176.770004,167.539993,167.869995,92882700,Tesla
22-11-2022,168.630005,170.919998,166.190002,169.910004,78452300,Tesla
23-11-2022,173.570007,183.619995,172.5,183.199997,109536700,Tesla
25-11-2022,185.059998,185.199997,180.630005,182.860001,50672700,Tesla
28-11-2022,179.960007,188.5,179,182.919998,92905200,Tesla
29-11-2022,184.990005,186.380005,178.75,180.830002,83357100,Tesla
30-11-2022,182.429993,194.759995,180.630005,194.699997,109186400,Tesla
01-12-2022,197.080002,198.919998,191.800003,194.699997,80046200,Tesla
02-12-2022,191.779999,196.25,191.110001,194.860001,73645900,Tesla
05-12-2022,189.440002,191.270004,180.550003,182.449997,93122700,Tesla
06-12-2022,181.220001,183.649994,175.330002,179.820007,92150800,Tesla
07-12-2022,175.029999,179.380005,172.220001,174.039993,84213300,Tesla
08-12-2022,172.199997,175.199997,169.059998,173.440002,97624500,Tesla
09-12-2022,173.839996,182.5,173.360001,179.050003,104872300,Tesla
12-12-2022,176.100006,177.369995,167.520004,167.820007,109794500,Tesla
13-12-2022,174.869995,175.050003,156.910004,160.949997,175862700,Tesla
14-12-2022,159.25,161.619995,155.309998,156.800003,140682300,Tesla
15-12-2022,153.440002,160.929993,153.279999,157.669998,122334500,Tesla
16-12-2022,159.639999,160.990005,150.039993,150.229996,139032200,Tesla
19-12-2022,154,155.25,145.820007,149.869995,139390600,Tesla
20-12-2022,146.050003,148.470001,137.660004,137.800003,159563300,Tesla
21-12-2022,139.339996,141.259995,135.889999,137.570007,145417400,Tesla
22-12-2022,136,136.630005,122.260002,125.349998,210090300,Tesla
23-12-2022,126.370003,128.619995,121.019997,123.150002,166989700,Tesla
27-12-2022,117.5,119.669998,108.760002,109.099998,208643400,Tesla
28-12-2022,110.349998,116.269997,108.239998,112.709999,221070500,Tesla
29-12-2022,120.389999,123.57,117.5,121.82,221923300,Tesla
30-12-2022,119.949997,124.480003,119.75,123.18,157777300,Tesla
03-01-2023,118.470001,118.800003,104.639999,108.099998,231402800,Tesla
04-01-2023,109.110001,114.589996,107.519997,113.639999,180389000,Tesla
05-01-2023,110.510002,111.75,107.160004,110.339996,157986300,Tesla
06-01-2023,103,114.389999,101.809998,113.059998,220911100,Tesla
09-01-2023,118.959999,123.519997,117.110001,119.769997,190284000,Tesla
10-01-2023,121.07,122.760002,114.919998,118.849998,167642500,Tesla
11-01-2023,122.089996,125.949997,120.510002,123.220001,183810800,Tesla
12-01-2023,122.559998,124.129997,117,123.559998,169400900,Tesla
13-01-2023,116.550003,122.629997,115.599998,122.400002,180714100,Tesla
17-01-2023,125.699997,131.699997,125.019997,131.490005,186477000,Tesla
18-01-2023,136.559998,136.679993,127.010002,128.779999,195680300,Tesla
19-01-2023,127.260002,129.990005,124.309998,127.169998,170291900,Tesla
20-01-2023,128.679993,133.509995,127.349998,133.419998,138858100,Tesla
23-01-2023,135.869995,145.380005,134.270004,143.75,203119200,Tesla
24-01-2023,143,146.5,141.100006,143.889999,158699100,Tesla
25-01-2023,141.910004,146.410004,138.070007,144.429993,192734300,Tesla
26-01-2023,159.970001,161.419998,154.759995,160.270004,234815100,Tesla
27-01-2023,162.429993,180.679993,161.169998,177.899994,306590600,Tesla
30-01-2023,178.050003,179.770004,166.5,166.660004,230878800,Tesla
31-01-2023,164.570007,174.300003,162.779999,173.220001,196813500,Tesla
01-02-2023,173.889999,183.809998,169.929993,181.410004,213806300,Tesla
02-02-2023,187.330002,196.75,182.610001,188.270004,217448300,Tesla
03-02-2023,183.949997,199,183.690002,189.979996,232662000,Tesla
06-02-2023,193.009995,198.169998,189.919998,194.759995,186188100,Tesla
07-02-2023,196.429993,197.5,189.550003,196.809998,186010300,Tesla
08-02-2023,196.100006,203,194.309998,201.289993,180673600,Tesla
09-02-2023,207.779999,214,204.770004,207.320007,215431400,Tesla
10-02-2023,202.229996,206.199997,192.889999,196.889999,204754100,Tesla
13-02-2023,194.419998,196.300003,187.610001,194.639999,172475500,Tesla
14-02-2023,191.940002,209.820007,189.440002,209.25,216455700,Tesla
15-02-2023,211.759995,214.660004,206.110001,214.240005,181006400,Tesla
16-02-2023,210.779999,217.649994,201.839996,202.039993,229586500,Tesla
17-02-2023,199.990005,208.440002,197.5,208.309998,213738500,Tesla
21-02-2023,204.990005,209.710007,197.220001,197.369995,180018600,Tesla
22-02-2023,197.929993,201.990005,191.779999,200.860001,191828500,Tesla
23-02-2023,203.910004,205.139999,196.330002,202.070007,146360000,Tesla
24-02-2023,196.330002,197.669998,192.800003,196.880005,142228100,Tesla
27-02-2023,202.029999,209.419998,201.259995,207.630005,161028300,Tesla
28-02-2023,210.589996,211.229996,203.75,205.710007,153144900,Tesla
01-03-2023,206.210007,207.199997,198.520004,202.770004,156852800,Tesla
02-03-2023,186.740005,193.75,186.009995,190.899994,181500700,Tesla
03-03-2023,194.800003,200.479996,192.880005,197.789993,154193300,Tesla
06-03-2023,198.539993,198.600006,192.300003,193.809998,128100100,Tesla
07-03-2023,191.380005,194.199997,186.100006,187.710007,148125800,Tesla
08-03-2023,185.039993,186.5,180,182,151897800,Tesla
09-03-2023,180.25,185.179993,172.509995,172.919998,170023800,Tesla
10-03-2023,175.130005,178.289993,168.440002,173.440002,191488900,Tesla
13-03-2023,167.460007,177.350006,163.910004,174.479996,167790300,Tesla
14-03-2023,177.309998,183.800003,177.139999,183.259995,143717900,Tesla
15-03-2023,180.800003,182.339996,176.029999,180.449997,145995600,Tesla
16-03-2023,180.369995,185.809998,178.839996,184.130005,121136800,Tesla
17-03-2023,184.520004,186.220001,177.330002,180.130005,133197100,Tesla
20-03-2023,178.080002,186.440002,176.350006,183.25,129684400,Tesla
21-03-2023,188.279999,198,188.039993,197.580002,153391400,Tesla
22-03-2023,199.300003,200.660004,190.949997,191.149994,150376400,Tesla
23-03-2023,195.259995,199.309998,188.649994,192.220001,144193900,Tesla
24-03-2023,191.649994,192.360001,187.149994,190.410004,116531600,Tesla
27-03-2023,194.419998,197.389999,189.940002,191.809998,120851600,Tesla
28-03-2023,192,192.350006,185.429993,189.190002,98654600,Tesla
29-03-2023,193.130005,195.289993,189.440002,193.880005,123660000,Tesla
30-03-2023,195.580002,197.330002,194.419998,195.279999,110252200,Tesla
31-03-2023,197.529999,207.789993,197.199997,207.460007,169638500,Tesla
03-04-2023,199.910004,202.690002,192.199997,194.770004,169545900,Tesla
04-04-2023,197.320007,198.740005,190.320007,192.580002,126463800,Tesla
05-04-2023,190.520004,190.679993,183.759995,185.520004,133882500,Tesla
06-04-2023,183.080002,186.389999,179.740005,185.059998,123857900,Tesla
10-04-2023,179.940002,185.100006,176.110001,184.509995,142154600,Tesla
11-04-2023,186.690002,189.190002,185.649994,186.789993,115770900,Tesla
12-04-2023,190.740005,191.580002,180.309998,180.539993,150256300,Tesla
13-04-2023,182.960007,186.5,180.940002,185.899994,112933000,Tesla
14-04-2023,183.949997,186.279999,182.009995,185,96306500,Tesla
17-04-2023,186.320007,189.690002,182.690002,187.039993,116662200,Tesla
18-04-2023,187.149994,187.690002,183.580002,184.309998,92067000,Tesla
19-04-2023,179.100006,183.5,177.649994,180.589996,125732700,Tesla
20-04-2023,166.169998,169.699997,160.559998,162.990005,210970800,Tesla
21-04-2023,164.800003,166,161.320007,165.080002,123352300,Tesla
24-04-2023,164.649994,165.649994,158.610001,162.550003,140006600,Tesla
25-04-2023,159.820007,163.470001,158.75,160.669998,121999300,Tesla
26-04-2023,160.289993,160.669998,153.139999,153.75,153364100,Tesla
27-04-2023,152.639999,160.479996,152.369995,160.190002,127015200,Tesla
28-04-2023,160.899994,165,157.320007,164.309998,122515800,Tesla
01-05-2023,163.169998,163.279999,158.830002,161.830002,109015000,Tesla
02-05-2023,161.880005,165.490005,158.929993,160.309998,127994700,Tesla
